"imgSrc","detailUrl","price","hdpData.homeInfo.bathrooms","hdpData.homeInfo.bedrooms","hdpData.homeInfo.livingArea"
"https://photos.zillowstatic.com/fp/a494f1407fb8384abe34cf0929ac7cc5-p_e.jpg","https://www.zillow.com/homedetails/315-Lake-Dr-Boulder-Creek-CA-95006/16158871_zpid/","$275,000",,,
"https://photos.zillowstatic.com/fp/c565103ed393ce74dcd802b07c17dca4-p_e.jpg","https://www.zillow.com/homedetails/34-Gate-6-1-2-Rd-Sausalito-CA-94965/2063192962_zpid/","$1,999,000","3","3","1714"
"https://photos.zillowstatic.com/fp/6b3c9e8a2708c2e8221cfb6b0d4737c9-p_e.jpg","https://www.zillow.com/homedetails/160-Windsor-Way-Vallejo-CA-94591/15680006_zpid/","$749,000","4","4","2094"
"https://photos.zillowstatic.com/fp/f28af713e81432f5ada168b0b6b71036-p_e.jpg","https://www.zillow.com/homedetails/957-Clara-Dr-Palo-Alto-CA-94303/19498370_zpid/","$6,488,000","6","5","3440"
"https://photos.zillowstatic.com/fp/374e6c31e14426e8948bd65673591258-p_e.jpg","https://www.zillow.com/homedetails/2250-Monroe-St-APT-358-Santa-Clara-CA-95050/64886772_zpid/","$498,000","1","1","716"
"https://photos.zillowstatic.com/fp/1d482b898df87785fecba220017a0d0e-p_e.jpg","https://www.zillow.com/homedetails/1109-Empey-Way-San-Jose-CA-95128/19588803_zpid/","$1,798,000","2","3","1910"
"https://photos.zillowstatic.com/fp/1433b4524eea3a93880b49793a898fe3-p_e.jpg","https://www.zillow.com/homedetails/23368-Mayar-Ct-Hayward-CA-94541/461604057_zpid/","$1,590,000","3","4","2278"
"https://photos.zillowstatic.com/fp/2f5550a783fef589e243243a5c942c06-p_e.jpg","https://www.zillow.com/community/parkside-west/441977206_zpid/","$1,259,995+","3","2","1270"
"https://photos.zillowstatic.com/fp/bc2ead084752f2593f61833485c8e9ca-p_e.jpg","https://www.zillow.com/homedetails/11730-Par-Ave-Los-Altos-CA-94024/19627571_zpid/","$4,980,000","3","5","2239"
"https://photos.zillowstatic.com/fp/faa02ed80f8098f709559db1dfd6f752-p_e.jpg","https://www.zillow.com/homedetails/1759-Evergreen-Ave-Dublin-CA-94568/461603876_zpid/","$1,323,382","3","3","1921"
"https://photos.zillowstatic.com/fp/fbff650162dd56cda67a38c50eea3cfb-p_e.jpg","https://www.zillow.com/homedetails/5697-Makati-Cir-APT-B-San-Jose-CA-95123/19829476_zpid/","$450,000","1","1","690"
"https://photos.zillowstatic.com/fp/b21d5146f40acfeb5425ab08fc8e9ebf-p_e.jpg","https://www.zillow.com/homedetails/1175-Crescent-Dr-San-Jose-CA-95125/19578809_zpid/","$2,499,000","2","3","1696"
"https://photos.zillowstatic.com/fp/86b452b16facd2bc2b148b1e7bb23d09-p_e.jpg","https://www.zillow.com/homedetails/6235-Tillamook-Dr-San-Jose-CA-95123/19833902_zpid/","$1,550,000","2","3","1409"
"https://photos.zillowstatic.com/fp/a15210fe35c1df05901dba41f002e363-p_e.jpg","https://www.zillow.com/homedetails/608-Arcadia-Ter-UNIT-303-Sunnyvale-CA-94085/19544042_zpid/","$798,000","2","2","1160"
"https://photos.zillowstatic.com/fp/1e70bad04265d22c1ef80fba22d04c23-p_e.jpg","https://www.zillow.com/homedetails/5675-Comanche-Dr-San-Jose-CA-95123/19820159_zpid/","$1,699,000","3","4","2160"
"https://photos.zillowstatic.com/fp/8222cf4e3578e55c697117683bb82987-p_e.jpg","https://www.zillow.com/homedetails/1249-Edgewood-Way-South-San-Francisco-CA-94080/2056843415_zpid/","$1,098,000","3","3","1496"
"https://photos.zillowstatic.com/fp/0f243b56ddf11b3ef7e22ad763473c03-p_e.jpg","https://www.zillow.com/homedetails/7071-N-Mariposa-Ct-Dublin-CA-94568/119586486_zpid/","$1,255,000","4","4","2024"
"https://photos.zillowstatic.com/fp/ef81e9d7743324bb5d59a2692ec9d96c-p_e.jpg","https://www.zillow.com/homedetails/1044-Keeble-Ct-San-Jose-CA-95126/59683041_zpid/","$999,888","3","2","1678"
"https://photos.zillowstatic.com/fp/b354d3a7ce5d2afb505146a60e50f566-p_e.jpg","https://www.zillow.com/homedetails/2957-Taper-Ave-Santa-Clara-CA-95051/19555754_zpid/","$2,400,000","3","4","2407"
"https://photos.zillowstatic.com/fp/43e0b21a7869fb32a5cd3513a4689373-p_e.jpg","https://www.zillow.com/homedetails/345-Vine-St-Menlo-Park-CA-94025/15598915_zpid/","$5,988,000","5","5","3220"
"https://photos.zillowstatic.com/fp/f63d6af1c55c761f095999beacc15570-p_e.jpg","https://www.zillow.com/homedetails/184-Kenwood-Way-San-Francisco-CA-94127/15141974_zpid/","$1,798,000","1","3","1600"
"https://photos.zillowstatic.com/fp/a30ede37c1166e1c3c51e18e2ce26ba1-p_e.jpg","https://www.zillow.com/homedetails/2411-Carlmont-Dr-APT-110-Belmont-CA-94002/15631000_zpid/","$1,348,888","3","3","1970"
"https://photos.zillowstatic.com/fp/bcb20e021394e34aacd183f1484e6619-p_e.jpg","https://www.zillow.com/homedetails/3817-Stanford-Way-Livermore-CA-94550/24939307_zpid/","$999,999","2","3","1306"
"https://photos.zillowstatic.com/fp/ffcad7b026bb7bb89f37113fcd3ea8d1-p_e.jpg","https://www.zillow.com/homedetails/729-N-20th-St-San-Jose-CA-95112/19567561_zpid/","$1,299,999","2","3","1092"
"https://photos.zillowstatic.com/fp/8a2545b125c44e0350f18ef913db9339-p_e.jpg","https://www.zillow.com/homedetails/801-Fassler-Ave-Pacifica-CA-94044/318413752_zpid/","$1,399,888","3","3","1544"
"https://photos.zillowstatic.com/fp/7ce47d540d19bd075609e4c22f79d9f8-p_e.jpg","https://www.zillow.com/homedetails/2988-Grassina-St-UNIT-409-San-Jose-CA-95136/69300652_zpid/","$820,000","2","2","1048"
"https://photos.zillowstatic.com/fp/dc2bc25c23ae85fb1baa9601713911b8-p_e.jpg","https://www.zillow.com/homedetails/741-Modern-Ice-Dr-San-Jose-CA-95112/112092851_zpid/","$799,000","3","3","1391"
"https://photos.zillowstatic.com/fp/8638703b52ee20f93b3a473d60b532d3-p_e.jpg","https://www.zillow.com/homedetails/835-Fassler-Ave-Pacifica-CA-94044/450529675_zpid/","$1,275,000","4","3","1643"
"https://photos.zillowstatic.com/fp/a85a832b7218aae35481921606f9a0b2-p_e.jpg","https://www.zillow.com/homedetails/1017-Golden-Gate-Ave-Half-Moon-Bay-CA-94019/15554094_zpid/","$1,300,000","2","3","1310"
"https://photos.zillowstatic.com/fp/8d1b6f6d6ec3f93cfc3b29a49c101371-p_e.jpg","https://www.zillow.com/homedetails/337-Bettencourt-St-Sonoma-CA-95476/15770240_zpid/","$1,050,000","2","3","1291"
"https://photos.zillowstatic.com/fp/438e5c160740347cf44033be29dd46e3-p_e.jpg","https://www.zillow.com/homedetails/1660-Long-St-Santa-Clara-CA-95050/19556366_zpid/","$1,398,000","2","2","1238"
"https://photos.zillowstatic.com/fp/c85672ed1f0f1bebcec3886a80922d9f-p_e.jpg","https://www.zillow.com/homedetails/490-Suisse-Dr-San-Jose-CA-95123/19821325_zpid/","$1,598,000","2","4","1826"
"https://photos.zillowstatic.com/fp/287fc7016bbec966b26b1b809be10ddd-p_e.jpg","https://www.zillow.com/homedetails/993-Minnesota-Ave-San-Jose-CA-95125/19680292_zpid/","$1,688,000","2","3","1560"
"https://photos.zillowstatic.com/fp/7ace84707de33cb0b33e2162d6069528-p_e.jpg","https://www.zillow.com/homedetails/229-Nautical-Ct-Vallejo-CA-94591/15692520_zpid/","$419,000","2","2","1168"
"https://photos.zillowstatic.com/fp/c3d33716fd02eb05256fd8d6524841ca-p_e.jpg","https://www.zillow.com/homedetails/1613-Kentfield-Ave-Redwood-City-CA-94061/119688766_zpid/","$1,849,000","4","3","2050"
"https://photos.zillowstatic.com/fp/992a805c2c4e8a81cffd3f99358debb3-p_e.jpg","https://www.zillow.com/homedetails/43141-Continental-Dr-Fremont-CA-94538/25041449_zpid/","$2,999,999","4","4","2584"
"https://photos.zillowstatic.com/fp/a532b6fb6186c1f5838a31c3a3b308c6-p_e.jpg","https://www.zillow.com/homedetails/801-S-Winchester-Blvd-APT-6400-San-Jose-CA-95128/69302572_zpid/","$560,000","1","1","692"
