price,bedrooms,bathrooms,sqft,lot_size,property_type,year_built,location,latitude,longitude,description,state,zipcode,address,listing_url,source_file,data_tier,is_synthetic_augment
265000.0,3.0,3.0,1703.0,5477.623555143062,single_family,2006.0,Houston,29.635275,-95.473145,"Meet 12927 Colony Heath Ln, recently updated with fresh interior paint and partial flooring replacement. The kitchen includes all stainless steel appliances and an accent backsplash, while double closets in the primary bedroom provide organized storage. A patio extends to a fenced in backyard, creating a defined outdoor area. This residence includes a refreshed interior and practical outdoor elements. Included 100-Day Home Warranty with buyer activation",TX,77085.0,12927 Colony Heath Ln,https://www.zillow.com/homedetails/12927-Colony-Heath-Ln-Houston-TX-77085/80590362_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
699900.0,3.0,4.0,3162.0,5477.623555143062,single_family,2013.0,Houston,29.782457,-95.42245,"A sought after, RARE Lake Arabelle floorplan with must have FIRST FLOOR LIVING, TURFED maintenance free oversized backyard, BONUS Gameroom (or 4th Bedroom with full bath) & Rooftop Patio. This 3/4 bed, 3.5 bath InTown Home located in a gated community, offers all the space you need with hardwood floors on the main floor, tons of storage, high ceilings & plenty of natural light through its North/South orientation. The airy 1st floor features an open floor plan with a renovated Kitchen, that seamlessly connects the dedicated Living & Dining spaces! Upstairs you will find the split bedroom plan with the Primary Bedroom (with TWO massive walk in closets) & two guest bedrooms with a shared bathroom. The Third Floor features the Gameroom (or 4th bedroom) with a full bathroom & access to the Rooftop Patio for additional entertaining space! Amenities include a dog park, walking trail & pool! Furnace replaced 2024. Water/Sewer/Trash covered by HOA. Fridge & Westinghouse Generator STAY",TX,77007.0,5607 Cohn Mdws,https://www.zillow.com/homedetails/5607-Cohn-Mdws-Houston-TX-77007/461606384_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
299990.0,4.0,2.0,2038.0,5477.623555143062,single_family,1997.0,Houston,29.595308,-95.35862,"Exquisitely landscaped, this stunning two-story residence showcases a beautifully designed open layout tailored for both refined living and effortless entertaining. The expansive living area is anchored by a striking fireplace, seamlessly flowing into the main living spaces while being bathed in natural light for a warm yet elevated ambiance. The primary suite offers a private retreat, complete with a spa-inspired en suite bath featuring a soaking tub and a separate walk-in shower. Secondary bedrooms are generously sized and finished with plush carpeting, providing comfort and versatility for all. A spacious game room adds another layer of flexibility, perfect for entertaining or relaxing. Outdoors, the expansive backyard presents endless possibilities, offering ample space for gatherings, outdoor living, and creating your own private oasis. This home effortlessly blends sophistication, comfort, and timeless appeal.",TX,77047.0,3938 Vauxhall Dr S,https://www.zillow.com/homedetails/3938-Vauxhall-Dr-S-Houston-TX-77047/28482945_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
304990.0,4.0,3.0,1659.0,5477.623555143062,single_family,2026.0,Houston,29.62185,-95.33901,"It is our joy to welcome you to the Boxwood/V24B floor plan, one of our beautiful two-story homes located in the Legacy Village community! This home features four bedrooms, two-and-a-half bathrooms, and a two-car garage. This house spans 1,659 square feet and will be a lovely home for you and your family!

As you enter the abode, you arrive in the foyer, which leads to the family room, kitchen, and dining room. This is an open concept living and dining space, providing optimal comfort and functionality in its design. The vinyl flooring and bright windows in this part of the house gives the home a bright and inviting air, making the home perfect for hosting guests or relaxing on the weekend! In addition, the kitchen is equipped with a tall pantry, a kitchen island, and stainless-steel appliances. A powder room is positioned near the kitchen and is complete with a pedestal sink.

A staircase sits behind the kitchen and leads to the second story of the home. Trekking upstairs, you arrive in a hallway leading to the secondary bathroom and various bedrooms within the home. The primary bedroom sits closest to the stairs and is complete with carpet flooring. The bedroom leads to the primary bathroom, which has vinyl flooring, a standing shower, a double sink, a separate toilet room, and a walk-in closet.

Returning to the hallway and continuing forward, you will find the utility room near the three secondary bedrooms. Each of the three bedrooms are finished with carpet flooring and",TX,77048.0,"BOXWOOD Plan, Legacy Village",https://www.zillow.com/community/legacy-village/445892234_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
309900.0,3.0,3.0,2072.0,5477.623555143062,single_family,1983.0,Humble,30.076077,-95.20007,"Beautifully remodeled 3 bed/2.5 bath home in the heart of Elm Grove subdivision! This 2 story home has been completely updated in 2026 from top to bottom! NEW floors, paint (outdoor and indoor), kitchen, primary bath, secondary bath, HVAC, roof (2025), lighting fixtures, fans, door/ drawer hardware, driveway, back patio, landscaping and MORE! Flexible floorplan with primary bedroom down, 2 bedrooms and a gameroom upstairs, and a flex room that can be used for study or sunroom. Home is located down the street from a large community park and playground, and is only minutes from Hwy 59 via Northpark Drive. This is a CAN NOT MISS OPPORTUNITY for anyone looking for an amazing turnkey home that is move-in ready for you to enjoy!",TX,77339.0,5122 Creek Shadows Dr,https://www.zillow.com/homedetails/5122-Creek-Shadows-Dr-Humble-TX-77339/28368840_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
400000.0,3.0,3.0,1974.0,5477.623555143062,single_family,2005.0,Houston,29.81805,-95.413086,"This charming property boasts a spacious open floor plan with abundant natural light. The modern kitchen features stainless steel appliances and granite countertops. Relax in the luxurious master suite with a large walk-in closet and private balcony. Enjoy outdoor gatherings in the nice size backyard with a deck. Located in a desirable neighborhood with top-rated schools and easy access to parks and shopping. Recent improvenets include new roof (2026), new HVAC (2025), hot water heater (2025), dishwasher (2025), cooktop (2026), interior walls and ceilings painted 2026. Don't miss the opportunity to make this your dream home!",TX,77018.0,3322 Garden Crest Ln,https://www.zillow.com/homedetails/3322-Garden-Crest-Ln-Houston-TX-77018/70311936_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
180000.0,3.0,2.0,1419.0,5477.623555143062,single_family,1975.0,Houston,29.93855,-95.62198,"Nestled in the sought-after Bonaire Subdivision, this charming property boasts 3 bedrooms and 2 full baths. The bright and open floor plan is accentuated by high ceilings, creating a spacious feel. Enjoy the lovely Bonaire Amenities including a pool and park, perfect for relaxation. The lush landscaping adds to the curb appeal of this home, while the shaded backyard provides a peaceful retreat. With no carpet throughout, maintenance is a breeze. Don't miss out on the opportunity to live in this highly desired neighborhood.",TX,77065.0,11223 Voltaire Dr,https://www.zillow.com/homedetails/11223-Voltaire-Dr-Houston-TX-77065/28216816_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
451040.0,3.0,3.0,2052.0,5477.623555143062,single_family,2026.0,Houston,29.828497,-95.54248,"Brand new, energy-efficient home available by Apr 2026! Skip your commute and work from home by purposing the Weston’s versatile flex space into a home office. When it’s time to take a break, head upstairs for some fun in the spacious game room. The primary suite features a luxurious five-piece bath. This master-planned community is a rare find in Spring Branch. The Townhome Series features a simple buying process with clear pricing and no surprises. With ready move-in homes made up of five two-story floorplans ranging from 1,495 – 2,052 sq. ft., you’re sure to find something you’ll love.  Each of our homes is built with innovative, energy-efficient features designed to help you enjoy more savings, better health, real comfort and peace of mind.",TX,77080.0,3213 Quiet Sunset Dr,https://www.zillow.com/homedetails/3213-Quiet-Sunset-Dr-Houston-TX-77080/461279509_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
614900.0,5.0,4.0,3657.0,5477.623555143062,single_family,2004.0,Kingwood,30.073824,-95.16089,"Discover this standout Riverchase property offering 5 bedrooms, 3.5 baths, and a commanding presence on a large lot with a resort-style waterfall pool and elevated spa. Inside, the home features updated kitchen and bath spaces, refined finishes, and a versatile floorplan ideal for both everyday living and entertaining.

The outdoor living area is a true highlight — lush landscaping, a dramatic pool design, and plenty of room to relax or host. Perfectly positioned in the heart of Kingwood with access to premier Kingwood schools, this home delivers comfort, convenience, and a lifestyle that feels like a private escape. Come take a tour and see what makes this property exceptional.",TX,77345.0,2311 Chasebrook Trl,https://www.zillow.com/homedetails/2311-Chasebrook-Trl-Kingwood-TX-77345/68410918_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
465000.0,3.0,3.0,2035.0,5477.623555143062,single_family,2025.0,Houston,29.8409,-95.441605,"This beautifully designed New Construction two-story home offers 2,035 sq. ft. of thoughtfully planned living space, featuring first-floor living and a spacious game room or versatile flex area upstairs. The primary suite impresses with two generous walk-in closets and a vaulted ceiling that enhances the open, airy ambiance. Throughout the home, high ceilings and abundant natural light create a bright, welcoming atmosphere. The kitchen stands out with expanded countertop space rarely found in comparable homes and a true farmhouse sink, blending style and functionality perfectly. This is the floor plan you will love! Please schedule your private tour today!",TX,77018.0,5126 Rosslyn Rd,https://www.zillow.com/homedetails/5126-Rosslyn-Rd-Houston-TX-77018/457313003_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
135000.0,2.0,1.0,960.0,5477.623555143062,townhouse,1981.0,Houston,29.724874,-95.52597,"Fresh, bright, and beautifully reworked, this 2-bedroom condo delivers the kind of everyday ease buyers notice immediately: an open layout, clean modern finishes, and no carpet anywhere for a sleek, low-maintenance feel. The kitchen has been fully refreshed with crisp cabinetry, updated surfaces, and bar seating that keeps the space connected and inviting.

The bedrooms offer flexibility for restful retreat, guests, or a dedicated work-from-home setup. The bathroom renovation brings a polished, contemporary look that elevates the home well beyond typical entry-level condo inventory. Outside the unit, the gated community and pool add another layer of convenience and lifestyle appeal. 

Set in a location with convenient access to the Galleria area, Westchase, and major commuter routes, this is the kind of updated, easy-living property that tends to draw strong attention in this price category. Schedule your private showing and see how well the layout lives in person.",TX,77063.0,3600 Jeanetta St APT 2707,https://www.zillow.com/homedetails/3600-Jeanetta-St-APT-2707-Houston-TX-77063/28429101_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
490000.0,2.0,3.0,1481.0,5477.623555143062,townhouse,2016.0,Houston,29.745775,-95.39097,"Bright, modern living with tall ceilings, rich hardwoods, and sunlight in all the right places. The open great room blends a comfortable living area with a sleek kitchen featuring a pendant-lit island, long prep runs, tile backsplash, gas range, and a full wall of cabinetry. A flexible dining or home office zone adds work-from-home convenience without sacrificing flow. The spacious primary suite has room for a sitting area, and the adjoining bath features a large glass shower. A well-sized secondary bedroom and fresh guest bath make hosting simple. Practical perks include a stacked laundry closet, ample storage, and an HVAC compressor replaced in 2023. Zoned to William Wharton K-8 Dual Language Academy, Gregory-Lincoln Middle School, and Lamar High School, and set in a prime Montrose location with quick access to neighborhood dining, shopping, and easy commutes to Midtown, the Museum District, and Downtown. Walking distance to all the hottest restaurants!",TX,77006.0,1004 California St Unit 203,https://www.zillow.com/homedetails/1004-California-St-UNIT-203-Houston-TX-77006/245766245_zpid/,899b569d-6351-4b18-8786-e42ee73427be.csv,real_raw,False
