price,address,listing_url,description,latitude,longitude,data_tier,is_synthetic_augment,bedrooms,bathrooms,sqft,lot_size,location,property_type,price_per_sqft,property_age,bed_bath_ratio,location_target_enc,location_cluster,amenity_count,luxury_score
309900.0,5122 Creek Shadows Dr,https://www.zillow.com/homedetails/5122-Creek-Shadows-Dr-Humble-TX-77339/28368840_zpid/,"Beautifully remodeled 3 bed/2.5 bath home in the heart of Elm Grove subdivision! This 2 story home has been completely updated in 2026 from top to bottom! NEW floors, paint (outdoor and indoor), kitchen, primary bath, secondary bath, HVAC, roof (2025), lighting fixtures, fans, door/ drawer hardware, driveway, back patio, landscaping and MORE! Flexible floorplan with primary bedroom down, 2 bedrooms and a gameroom upstairs, and a flex room that can be used for study or sunroom. Home is located down the street from a large community park and playground, and is only minutes from Hwy 59 via Northpark Drive. This is a CAN NOT MISS OPPORTUNITY for anyone looking for an amazing turnkey home that is move-in ready for you to enjoy!",30.076077,-95.20007,real_raw,False,3.0,3.0,2072.0,5767.2784984740665,Humble,single_family,149.56563706563708,43.0,1.0,294635.3120537536,5,0,5.69
400000.0,3322 Garden Crest Ln,https://www.zillow.com/homedetails/3322-Garden-Crest-Ln-Houston-TX-77018/70311936_zpid/,"This charming property boasts a spacious open floor plan with abundant natural light. The modern kitchen features stainless steel appliances and granite countertops. Relax in the luxurious master suite with a large walk-in closet and private balcony. Enjoy outdoor gatherings in the nice size backyard with a deck. Located in a desirable neighborhood with top-rated schools and easy access to parks and shopping. Recent improvenets include new roof (2026), new HVAC (2025), hot water heater (2025), dishwasher (2025), cooktop (2026), interior walls and ceilings painted 2026. Don't miss the opportunity to make this your dream home!",29.81805,-95.413086,real_raw,False,3.0,3.0,1974.0,5767.2784984740665,Houston,single_family,202.63424518743668,21.0,1.0,434955.5737602818,0,0,6.39
451040.0,3213 Quiet Sunset Dr,https://www.zillow.com/homedetails/3213-Quiet-Sunset-Dr-Houston-TX-77080/461279509_zpid/,"Brand new, energy-efficient home available by Apr 2026! Skip your commute and work from home by purposing the Weston’s versatile flex space into a home office. When it’s time to take a break, head upstairs for some fun in the spacious game room. The primary suite features a luxurious five-piece bath. This master-planned community is a rare find in Spring Branch. The Townhome Series features a simple buying process with clear pricing and no surprises. With ready move-in homes made up of five two-story floorplans ranging from 1,495 – 2,052 sq. ft., you’re sure to find something you’ll love.  Each of our homes is built with innovative, energy-efficient features designed to help you enjoy more savings, better health, real comfort and peace of mind.",29.828497,-95.54248,real_raw,False,3.0,3.0,2052.0,5767.2784984740665,Houston,single_family,219.80506822612085,0.0,1.0,434955.5737602818,3,1,7.27
465000.0,5126 Rosslyn Rd,https://www.zillow.com/homedetails/5126-Rosslyn-Rd-Houston-TX-77018/457313003_zpid/,"This beautifully designed New Construction two-story home offers 2,035 sq. ft. of thoughtfully planned living space, featuring first-floor living and a spacious game room or versatile flex area upstairs. The primary suite impresses with two generous walk-in closets and a vaulted ceiling that enhances the open, airy ambiance. Throughout the home, high ceilings and abundant natural light create a bright, welcoming atmosphere. The kitchen stands out with expanded countertop space rarely found in comparable homes and a true farmhouse sink, blending style and functionality perfectly. This is the floor plan you will love! Please schedule your private tour today!",29.8409,-95.441605,real_raw,False,3.0,3.0,2035.0,5767.2784984740665,Houston,single_family,228.5012285012285,1.0,1.0,434955.5737602818,0,0,6.91
480000.0,608 Westcott St,https://www.zillow.com/homedetails/608-Westcott-St-Houston-TX-77007/84052466_zpid/,"Beautiful villa in a gated community right off Westcott and Blossom; which leads directly to the Eastern Glades at Memorial Park and Blossom Street being the Bike Trail, connecting to the Buffalo Bayou Parks. This little gem was just recently updated in 2026. The home features spacious, open-flow living spaces. Kitchen has granite counters and peninsula island and stainless appliances including new refrigerator. Living and dining room are complemented by a gas fireplace, dry bar and hardwood flooring. The 3rd bedroom is on the same level as the living areas. Primary Bedroom has double French doors providing unique overview of the living area and the ensuite bath offers double vanities, two walk-in closets. A spacious first-floor en-suite bedroom features double doors leading to a private, fenced backyard.",29.767675,-95.42149,real_raw,False,3.0,3.0,2090.0,5767.2784984740665,Houston,single_family,229.6650717703349,21.0,1.0,434955.5737602818,0,2,7.97
395000.0,3211 Royal Oaks Hollow Ln,https://www.zillow.com/homedetails/3211-Royal-Oaks-Hollow-Ln-Houston-TX-77040/450568796_zpid/,"Lock & leave luxury in this beautifully designed, gated community home! The open-concept first floor is perfect for entertaining, featuring an oversized family room with a wall of windows, stylish finishes, and a chef-worthy kitchen with stainless steel appliances, convection oven, pendant lighting, and an oversized island. Upstairs, all 3 bedrooms offer privacy, including a spacious primary suite with abundant natural light, double vanity, designer tub, and oversized frameless glass shower. Two secondary bedrooms, a full bath, and a conveniently located laundry room complete the second floor. Enjoy evenings in the backyard—your perfect retreat at the end of the day! Centrally located minutes from major freeways, shopping, dining, and more, this home is a must-see.",29.72608,-95.59057,real_raw,False,3.0,3.0,2199.0,5767.2784984740665,Houston,single_family,179.62710322874034,2.0,1.0,434955.5737602818,4,1,6.86
395000.0,3220 Royal Oaks Hollow Ln,https://www.zillow.com/homedetails/3220-Royal-Oaks-Hollow-Ln-Houston-TX-77082/458935552_zpid/,"Lock & leave luxury in this beautifully designed, gated community home! The open-concept first floor is perfect for entertaining, featuring an oversized family room with a wall of windows, stylish finishes, and a chef-worthy kitchen with stainless steel appliances, convection oven, pendant lighting, and an oversized island. Upstairs, all 3 bedrooms offer privacy, including a spacious primary suite with abundant natural light, double vanity, designer tub, and oversized frameless glass shower. Two secondary bedrooms, a full bath, and a conveniently located laundry room complete the second floor. Enjoy evenings in the backyard—your perfect retreat at the end of the day! Centrally located minutes from major freeways, shopping, dining, and more, this home is a must-see.",29.725931,-95.5912,real_raw,False,3.0,3.0,2199.0,5767.2784984740665,Houston,single_family,179.62710322874034,2.0,1.0,434955.5737602818,4,1,6.86
335000.0,15514 Diana Ln,https://www.zillow.com/homedetails/15514-Diana-Ln-Houston-TX-77062/28125175_zpid/,"This Clear Lake beauty checks ALL the boxes and then some. 5 bedrooms, 2.5 baths, an open layout, and a massive kitchen island that's begging for snacks, wine nights, and game days. You've got quartz counters, stainless appliances, updated fixtures + lighting , and a gas/wood-burning fireplace for cozy vibes. Both full baths bring the wow factor with walk-in showers and double sinks, plus there is a handy half bath tucked right off the laundry room- perfect for guests. Step out back to a huge deck made for entertaining and hot tubing, a separate garage, long driveway and tons of parking. And the cherry on top? Quick access to I-45, Baybrook Mall, tons of shopping + dining AND low taxes!",29.569912,-95.13099,real_raw,False,5.0,3.0,2276.0,5767.2784984740665,Houston,single_family,147.18804920913885,61.0,1.6666666666666667,434955.5737602818,2,2,6.93
395000.0,12004 Royal Oaks Banner Way,https://www.zillow.com/homedetails/12004-Royal-Oaks-Banner-Way-Houston-TX-77082/450568795_zpid/,"Lock & leave luxury in this beautifully designed, gated community home! The open-concept first floor is perfect for entertaining, featuring an oversized family room with a wall of windows, stylish finishes, and a chef-worthy kitchen with stainless steel appliances, convection oven, pendant lighting, and an oversized island. Upstairs, all 3 bedrooms offer privacy, including a spacious primary suite with abundant natural light, double vanity, designer tub, and oversized frameless glass shower. Two secondary bedrooms, a full bath, and a conveniently located laundry room complete the second floor. Enjoy evenings in the backyard—your perfect retreat at the end of the day! Centrally located minutes from major freeways, shopping, dining, and more, this home is a must-see.",29.72659,-95.590256,real_raw,False,3.0,3.0,2199.0,5767.2784984740665,Houston,single_family,179.62710322874034,2.0,1.0,434955.5737602818,4,1,6.86
275000.0,"315 Lake Dr, Boulder Creek, CA 95006",https://www.zillow.com/homedetails/315-Lake-Dr-Boulder-Creek-CA-95006/16158871_zpid/,,29.784128013985686,-95.42098180005512,real_raw,False,3.0,3.0,2106.238237712362,5767.2784984740665,Houston,unknown,130.56452735312808,39.0,1.0,434955.5737602818,0,0,5.44
